,remarks_medical,,adverse_events,,text,Bemærkninger fra læge,,,,,,,,y,,,,,Any remarks from medical staff. Repeated instrument.
,bed_q_1,binge_eating_disorder_questionnaire,bedq,,radio,"1. Haft episoder med tvangsoverspisning? (dvs. at du indenfor et kort tidsrum (fx to timer) spiste væsentligt mere, end hvad der er normalt)?","0, Nej | 1, Ja, mindre end 1 gang om ugen | 2, Ja, 1-3 gange om ugen | 3, Ja, 4-7 gange om ugen | 4, Ja, 8-13 gange om ugen | 5, Ja, 14 eller flere gange om ugen",,,,,,,y,,,,,"Binge eating episode defined as eating a significantly larger amount of food than normal within a short time period, indicative of loss of control."
,pregnancy_test_v10,visit_10,besgsdag_10_5f76,,radio,Kan deltageren være gravid?,"1, Ja | 2, Nej","Hvis Ja, må der foretages graviditetstest. ",,,,,,y,,,,,Indicates if the participant can be pregnant. Visit 10.
,pulse_1_v10,visit_10,besgsdag_10_5f76,,text,Puls 1,,bpm,number,30,200,,,y,,,,,"Pulse in bpm first measurement. 
Participant sitting, measured after approximately 5-10 minutes of rest. Visit 10."
,pulse_2_v10,visit_10,besgsdag_10_5f76,,text,Puls 2,,bpm,number,30,200,,,y,,,,,"Pulse in bpm second measurement. 
Participant sitting, measured after approximately 5-10 minutes of rest. Visit 10."
,pulse_3_v10,visit_10,besgsdag_10_5f76,,text,Puls 3,,bpm,number,30,200,,,y,,,,,"Pulse in bpm third measurement. 
Participant sitting, measured after approximately 5-10 minutes of rest. Visit 10."
,pulse_avg_v10,visit_10,besgsdag_10_5f76,,calc,"Puls, gennemsnit ","if(
  [pulse_3_v10]<>'' and [pulse_2_v10]<>'',
  ([pulse_3_v10]+[pulse_2_v10])/2,
  if(
    [pulse_3_v10]<>'' and [pulse_2_v10]='',
    [pulse_3_v10],
    if(
      [pulse_3_v10]='' and [pulse_2_v10]<>'',
      [pulse_2_v10],
      '')))",bpm,,,,,,,,,,,Calculates pulse based on the last available measurements: mean of measurement 2 and 3 if both are present; otherwise uses the most recent available (measurement 3 or 2). Bpm. Visit 10.
relative_name_v10_admin,relative_name_v10,visit_10,besgsdag_10_5f76,,text,Hvem?,,,,,,,[relative_v10] = '1',y,,,,,The name of the relative attending the visit. Visit 10.
relative_v10_admin,relative_v10,visit_10,besgsdag_10_5f76,,radio,Er der pårørende med til besøget?,"1, Ja | 2, Nej",,,,,,,y,,,,,Indicates whether a relative or accompanying person is present at the visit. Visit 10.
,research_active_status_closed_sp_v10,visit_10,besgsdag_10_5f76,,radio,Er deltageren afsluttet som forskningsaktiv i SP? ,"1, Ja | 2, Nej",,,,,,,y,,,,,Indicate whether the participant has been completed as research-active in SP. Visit 10.
,saliva_sample_antibiotic_extra_v10,visit_10,besgsdag_10_5f76,,text,Uddyb:,,,,,,,[saliva_sample_antibiotic_v10] = '1',y,,,,,"Additional details related to the use of antibiotic treatment (e.g., type, duration, frequency, or dosage). Visit 10."
,saliva_sample_antibiotic_v10,visit_10,besgsdag_10_5f76,,radio,Har deltageren modtaget systemisk antibiotikabehandling indenfor de 2 sidste måneder?,"1, Ja | 2, Nej",,,,,,[saliva_sample_v10] = '1',y,,,,,Systemic antibiotic treatment within the past 2 months. Visit 10.
,saliva_sample_antifungal_medication_extra_v10,visit_10,besgsdag_10_5f76,,text,Uddyb:,,,,,,,[saliva_sample_antifungal_medication_v10] = '1',y,,,,,"Additional details related to the use of antifungal medication (e.g., type, duration, frequency, or dosage). Visit 10."
,saliva_sample_antifungal_medication_v10,visit_10,besgsdag_10_5f76,,radio,Har deltageren modtaget oral behandling med svampehæmmende stoffer?,"1, Ja | 2, Nej",,,,,,[saliva_sample_v10] = '1',y,,,,,Use of oral antifungal medication. Visit 10.
,saliva_sample_chlorhexidine_extra_v10,visit_10,besgsdag_10_5f76,,text,Uddyb:,,,,,,,[saliva_sample_chlorhexidine_v10] = '1',y,,,,,"Additional details related to the use of chlorhexidine within 6 weeks (e.g., type, duration, frequency, or dosage). Visit 10."
,saliva_sample_chlorhexidine_v10,visit_10,besgsdag_10_5f76,,radio,Har deltageren modtaget oral klorhexidinbehandling indenfor de sidste 6 uger?,"1, Ja | 2, Nej",,,,,,[saliva_sample_v10] = '1',y,,,,,Use of oral chlorhexidine treatment within the past 6 weeks. Visit 10.
,saliva_sample_dental_treatment_extra_v10,visit_10,besgsdag_10_5f76,,text,Uddyb:,,,,,,,[saliva_sample_dental_treatment_v10] = '1',y,,,,,Additional details related to dental treatment within the past 6 weeks. Visit 10.
,saliva_sample_dental_treatment_v10,visit_10,besgsdag_10_5f76,,radio,"Har deltageren modtaget tandbehandling indenfor de sidste 6 uger (tandrensning, fyldninger, etc.)?","1, Ja | 2, Nej",,,,,,[saliva_sample_v10] = '1',y,,,,,"Dental treatment within the past 6 weeks (e.g., cleaning, fillings). Visit 10."
,saliva_sample_herbal_toothpaste_extra_v10,visit_10,besgsdag_10_5f76,,text,Uddyb:,,"Type, varighed, mængde osv.",,,,,[saliva_sample_herbal_toothpaste_v10] = '1',y,,,,,"Additional details related to the use of herbal toothpaste (e.g., type, duration, frequency, or dosage). Visit 10."
,saliva_sample_herbal_toothpaste_v10,visit_10,besgsdag_10_5f76,,radio,Bruger deltageren urtetandpasta (nogle indeholder antibakterielle stoffer)?,"1, Ja | 2, Nej",,,,,,[saliva_sample_v10] = '1',y,,,,,"Use of herbal toothpaste, potentially containing antibacterial compounds. Visit 10."
,saliva_sample_high_fluoride_extra_v10,visit_10,besgsdag_10_5f76,,text,Uddyb:,,"Type, varighed, mængde osv.",,,,,[saliva_sample_high_fluoride_v10] = '1',y,,,,,"Additional details related to the use of toothpaste containing more than 1500 ppm fluoride (e.g., type, duration, frequency, or dosage). Visit 10."
,saliva_sample_high_fluoride_v10,visit_10,besgsdag_10_5f76,,radio,"<div class=""rich-text-field-label""><p>Bruger deltageren en tandpasta med mere end 1500 ppm fluorid?<br><br><span style=""font-weight: normal;"">Fx Duraphat. Bruger deltageren almindelig håndkøbstandpasta, er det ikke tilfældet. </span></p></div>","1, Ja | 2, Nej",,,,,,[saliva_sample_v10] = '1',y,,,,,Use of toothpaste containing more than 1500 ppm fluoride. Visit 10.
,saliva_sample_mouthwash_extra_v10,visit_10,besgsdag_10_5f76,,text,Uddyb:,,"Type, mængde osv.",,,,,[saliva_sample_mouthwash_v10] = '1',y,,,,,"Additional details related to the use of mouthwash products (e.g., type, duration, frequency, or dosage). Visit 10."
,saliva_sample_mouthwash_v10,visit_10,besgsdag_10_5f76,,radio,Har deltageren et regelmæssigt brug af diverse mundskyllemidler?,"1, Ja | 2, Nej",,,,,,[saliva_sample_v10] = '1',y,,,,,Regular use of mouthwash products. Visit 10.
,saliva_sample_smoking_extra_v10,visit_10,besgsdag_10_5f76,,text,Uddyb:,,"Varighed, mængde osv.",,,,,[saliva_sample_smoking_v10] = '1',y,,,,,"Additional details related to smoking (e.g., duration, frequency, or dosage). Visit 10."
,saliva_sample_smoking_v10,visit_10,besgsdag_10_5f76,,radio,Ryger deltageren?,"1, Ja | 2, Nej",,,,,,[saliva_sample_v10] = '1',y,,,,,"Smoking status, including duration and intensity of use. Visit 10."
,saliva_sample_v10,visit_10,besgsdag_10_5f76,Spytprøve og urinprøve på besøgsdagen ,radio,Har deltageren lavet og afleveret en spytprøve? ,"1, Ja | 2, Nej",,,,,,,y,,,,,Indicates if the participant has delivered a saliva sample. Visit 10.
,scip_consonant_test_v10,visit_10,besgsdag_10_5f76,,text,2. Konsonant-trigram opgave,,,number,0,24,,[scipd_performed_v10]='1',y,,,,,Whether the participant has completed the consonant test. visit 10.
,scip_delayed_recall_v10,visit_10,besgsdag_10_5f76,,text,4. Forsinket liste-genkaldelse,,,number,0,10,,[scipd_performed_v10]='1',y,,,,,Whether the participant completed the recall test. visit 10.
,scip_list_test_v10,visit_10,besgsdag_10_5f76,,text,1. Liste-indlæring test,,,number_comma_decimal,0,30,,[scipd_performed_v10]='1',y,,,,,Whether the participant completed the scip list test. visit 10.
scip_upload_v10_file,scip_upload_v10,visit_10,besgsdag_10_5f76,,file,"<div class=""rich-text-field-label""><p>Upload SCIP-D:<br><br><em><span style=""font-weight: normal;"">Gemmes som onlimit_ID_visit_test (eksempel: onlimit_05_v4_scip-d)</span></em></p></div>",,,,,,,[scipd_performed_v10]='1',y,,,,,upload SCIP-D. workflow. visit 10.
,scip_visuomotor_v10,visit_10,besgsdag_10_5f76,,text,5. Visuomotor opgave,,,number,0,30,,[scipd_performed_v10]='1',y,,,,,Whether the participant completed the visomotor test. visit 10.
,scip_word_mobilizing_v10,visit_10,besgsdag_10_5f76,,text,3. Ordmobilisering,,,number,0,100,,[scipd_performed_v10]='1',y,,,,,Whether the participant completed the word mobilizing test. visit 10.
scipd_performed_v10_dq,scipd_performed_v10,visit_10,besgsdag_10_5f76,Kognitionstests,radio,Har deltageren gennemført SCIP-D?,"1, Ja | 2, Nej",,,,,,,y,,,,,Whether the participant completed SCIP-D. Visit 10.
,sdc04_sp_closed_v10,visit_10,besgsdag_10_5f76,Afslutning i Sundhedsplatformen,radio,Er SDC04- forløbselementet afsluttet i SP? ,"1, Ja | 2, Nej",,,,,,,y,,,,,Indicate whether the SDC04 care pathway element has been completed in SP. Visit 10.
,sens_deviation_adminribe_v10,visit_10,besgsdag_10_5f76,,text,Beskriv afvigelsen relateret til SENS,,,,,,,[sens_deviation_v10] = '1',y,,,,,Description of any deviations regarding the SENS activity tracker. Visit 10.
,sens_deviation_v10,visit_10,besgsdag_10_5f76,,radio,SENS,"1, Ja | 2, Nej",,,,,,,y,,,deviations_v10,,Record any deviations from protocol during SENS monitoring. Visit 10.
,sens_early_removal_v10,visit_10,besgsdag_10_5f76,,radio,Er aktivitetsmåleren blevet fjernet før tid?,"1, Ja | 2, Nej","OBS: Hvis den kortvarigt er blevet fjernet, enten fordi den er sat over på modsatte ben (pga. kløe og irritation) eller hvis den er faldet af af sig selv, så bør dette punkt ikke være relevant at svare ""Ja"" til",,,,,[sens_returned_v10]= '1',y,,,,,Indicates if the SENS device fell off/ was taken off before the decided measuring time was over. Visit 10.
,sens_early_removal_why_v10,visit_10,besgsdag_10_5f76,,text,"Hvis ""Ja"", hvorfor og hvornår?",,,,,,,[sens_early_removal_v10] = '1',y,,,,,Indicates why and when the SENS device was taken off. Visit 10.
,sens_nr_v10,visit_10,besgsdag_10_5f76,,text,"<div class=""rich-text-field-label""><p>Angiv nummer på aktivitetsmåleren:</p></div>",,"Klistermærke på bagsiden af sensoren, eks:  I-54B.61F",,,,,[sens_returned_v10]= '1',y,,,,,SENS number. Visit 10.
,sens_returned_v10,visit_10,besgsdag_10_5f76,"<div class=""rich-text-field-label""><p>Aktivitetsmåler retur (SENS) </p></div>",radio,Er aktivitetsmåler (SENS) kommet retur?,"1, Ja | 2, Nej",,,,,,,y,,,,,SENS returned. Visit 10.
,sens_returning_date_v10,visit_10,besgsdag_10_5f76,,text,"Hvis ""nej"", aftal med deltageren, hvornår vi får aktivitetsmåleren retur.",,"OBS: Sørg for at deltageren overfører data til serverskyen gerne dagligt, da sensoren stopper med at lave nye målinger ved fyldt sensor.",,,,,[sens_returned_v10]= '2',y,,,,,Date for returned SENS. Visit 10.
sens_upload_ldrive_v10_dq,sens_upload_ldrive_v10,visit_10,besgsdag_10_5f76,,radio,"<div class=""rich-text-field-label""><p><span style=""background-color: #f1c40f;"">Er SENS-data indlæst og gemt på L-drevet (CSV-fil)?<br></span></p> <p><span style=""background-color: #f1c40f;"">OBS: ikke afklaret endnu</span></p> <p><span style=""background-color: #f1c40f;""><em>Gemmes som onlimit_ID_visit_test (eksempel: onlimit_05_v2_sens)</em></span></p></div>","1, Ja | 2, Nej",L:\AuditData\ON LiMiT\2. Feasibility studie\10. Data\8. Aktivitetsmåling (SENS),,,,,[sens_returned_v10]= '1',y,,,,,SENS data saved on L-drive. Workflow. Visit 10.
sens_upload_v10_file,sens_upload_v10,visit_10,besgsdag_10_5f76,,file,"<div class=""rich-text-field-label""><p><span style=""background-color: #f1c40f;"">Upload SENS-data (CSV-fil)</span></p> <p><span style=""background-color: #f1c40f;"">OBS: ikke afklaret endnu</span></p></div>",,,,,,,[sens_returned_v10]= '1',y,,,,,Upload sens activity file in excel. Visit 10.
,sensor_reuse_v10,visit_10,besgsdag_10_5f76,,radio,"<div class=""rich-text-field-label""><p>Er den slukkede sensor lagt i den rigtige kasse (klar eller død)?<br><br></p> <p><span style=""font-weight: normal;""><em>Tjek batteritiden når aktivitetsmåler slukkes i SENS webappen. </em></span></p> <p><span style=""font-weight: normal;""><em>Se SOP SENS aftagning.</em></span></p></div>","1, Ja | 2, Nej",Tjek batteritid ved data upload,,,,,[sens_returned_v10]= '1',y,,,,,Is the sensor put in the right reuse box. Workflow. Visit 10.
,shake_bar_time_min_v10,visit_10,besgsdag_10_5f76,,text,"Hvis det tog mere end 10 minutter for deltageren at indtage shake + bar: 
Hvor mange minutter var deltageren om at indtage shake + bar?",,,,,,,[mmtt_shake_bar_v10] =2,y,,,,,"The number of minutes it took the participant to consume the test shake and bar, if the total consumption time exceeded 10 minutes. Visit 10."
,smoking_amount_v10,visit_10,besgsdag_10_5f76,,text,"Hvis deltageren IKKE har undgået rygning siden i går aftes, hvor meget og hvornår? ",,,,,,,[smoking_v10] = '2',y,,,,,Indicates how much smoking the participant has done and when since last night. Visit 10.
,smoking_v10,visit_10,besgsdag_10_5f76,,radio,Har deltageren afholdt sig fra rygning siden i går aftes?,"1, Ja | 2, Nej",Dette er vigtigt for at få så korrekte målinger som muligt,,,,,,y,,,,,Indicates if the participant has avoided smpking since the night before. Visit 10.
,sp_note_visit_v10,visit_10,besgsdag_10_5f76,SP,radio,Er der skrevet notat for besøget i SP?,"1, Ja | 2, Nej",,,,,,,y,,,,,Indicates whether a note for the visit is documented in SP. Visit 10.
,spit_sample_deviation_v10,visit_10,besgsdag_10_5f76,,radio,Spytprøve,"1, Ja | 2, Nej",,,,,,,y,,,deviations_v10,,Record any deviations from protocol during spit sample. Visit 10.
,spitsample_deviation_adminribe_v10,visit_10,besgsdag_10_5f76,,text,Beskriv afvigelsen i indsamling af spytprøve,,,,,,,[spit_sample_deviation_v10] = '1',y,,,,,Description of any deviations regarding the spit sample. Visit 10.
staff_initials_dxa_v10_admin,staff_initials_dxa_v10,visit_10,besgsdag_10_5f76,,text,DXA udført af,,Skriv initialer.,,,,,[dxa_performed_v10]='1',y,,,,,Initials of the study staff member responsible for conducting the DXA scan. Visit 10.
staff_initials_fibro_v10_admin,staff_initials_fibro_v10,visit_10,besgsdag_10_5f76,,text,Fibroscanning udført af,,Noter også initialer på projektmedarbejder hvis scanningen ikke blev udført,,,,,[fibro_performed_v10]='1',y,,,,,Initials of the study staff member responsible for conducting the fibro scan. Visit 10.
staff_initials_v10_admin,staff_initials_v10,visit_10,besgsdag_10_5f76,,text,Initialer på projektpersonale,,,,,,y,,y,,,,,Initials of the study staff member responsible for conducting the visit. Visit 10.
,stool_sample_deviation_v10,visit_10,besgsdag_10_5f76,,radio,Afføringsprøve,"1, Ja | 2, Nej",,,,,,,y,,,deviations_v10,,Record any deviations from protocol during stool sample. Visit 10.
,stool_sample_return_v10,visit_10,besgsdag_10_5f76,,text,"Hvis 'Nej', aftal med deltageren, hvornår de afleverer afføringsprøven.",,Aftal tidspunkt og fremgangsmåde.,,,,,[stool_sample_v10] = '2',y,,,,,Date for return of the stool sample. Visit 10.
,stool_sample_v10,visit_10,besgsdag_10_5f76,"<div class=""rich-text-field-label""><p>Afføringsprøve </p></div>",radio,Har deltageren afleveret en afføringsprøve? ,"1, Ja | 2, Nej",,,,,,,y,,,,,Indicates whether the participant brought a stool sample like instructed. Visit 10.
,stoolsample_deviation_adminribe_v10,visit_10,besgsdag_10_5f76,,text,Beskriv afvigelsen i indsamling af afføringsprøve,,,,,,,[stool_sample_deviation_v10] = '1',y,,,,,Description of any deviations regarding the stool sample. Visit 10.
,survey_answered_v10,visit_10,besgsdag_10_5f76,Spørgeskemaer,radio,Har deltageren svaret på alle spørgeskemaer knyttet til dette besøg?,"1, Ja | 2, Nej",,,,,,,y,,,,,Survey answered. Visit 10.
,survey_deviation_adminribe_v10,visit_10,besgsdag_10_5f76,,text,Beskriv afvigelsen under udfyldelse af spørgeskemaer,,,,,,,[survey_deviation_v10] = '1',y,,,,,Description of any deviations regarding the surveys. Visit 10.
,survey_deviation_v10,visit_10,besgsdag_10_5f76,,radio,Spørgeskemaer,"1, Ja | 2, Nej",,,,,,,y,,,deviations_v10,,Record any deviations from protocol during surveys/questionnaires. Visit 10.
,sys_bp_1_v10,visit_10,besgsdag_10_5f76,,text,Systolisk blodtryk 1,,mmHg,number,60,260,,,y,,,,,"Systolic blood pressure in mmHg, first measurement. 
Participant sitting, measured after approximately 10 minutes of rest. Visit 10."
,sys_bp_2_v10,visit_10,besgsdag_10_5f76,,text,Systolisk blodtryk 2,,mmHG,number,60,260,,,y,,,,,"Systolic blood pressure in mmHg, second measurement. 
Participant sitting, measured after approximately 5-10 minutes of rest. Visit 10."
,sys_bp_3_v10,visit_10,besgsdag_10_5f76,,text,Systolisk blodtryk 3,,mmHG,number,60,260,,,y,,,,,"Systolic blood pressure in mmHg, third measurement. 
Participant sitting, measured after approximately 5-10 minutes of rest. Visit 10."
,sys_bp_avg_v10,visit_10,besgsdag_10_5f76,,calc,"Systolisk blodtryk, gennemsnit","if(
  [sys_bp_3_v10]<>'' and [sys_bp_2_v10]<>'',
  ([sys_bp_3_v10]+[sys_bp_2_v10])/2,
  if(
    [sys_bp_3_v10]<>'' and [sys_bp_2_v10]='',
    [sys_bp_3_v10],
    if(
      [sys_bp_3_v10]='' and [sys_bp_2_v10]<>'',
      [sys_bp_2_v10],
      '')))",mmHg. NB: Ved gentaget systolisk blodtryk over 180 mmHg bør deltageren ses af en læge på undersøgelsesstedet,,,,,,,,,,,Mean of last two systolic BP measurements (2 and 3); otherwise most recent available. Visit 10.
test_protocol_previous_visit_v10_admin,test_protocol_previous_visit_v10,visit_10,besgsdag_10_5f76,VO2 max test,calc,"<div class=""rich-text-field-label""><p><span style=""background-color: #ecf0f1; color: #000000;"">Hvilken testprotokol blev brug ved forrige test?</span></p></div>",[besg_8_arm_1][vo2max_test_type_v8],"1. Let, 2. Middel, 3. Høj, 4. Meget høj, 5. Ekstremt høj",,,,,,y,,,,,Indicates what vo2 max protocol that was used at previous visit (visit 8). Visit 10.
,time_tooth_brushing_morning_v10,visit_10,besgsdag_10_5f76,,text,Hvad tid har deltageren børstet tænder i morges?,,,time,,,,[morning_tooth_brushing_before_visit_v10]='1',,,,,,Time at which the participant brushed their teeth on the morning of the visit. Visit 10.
,timer_started_v10,visit_10,besgsdag_10_5f76,MMTT: Indtagelse af shake + bar,radio,"<div class=""rich-text-field-label""><p>Er uret startet?</p> <p>Påbegyndelse af shake + bar = tid 0</p></div>","1, Ja | 2, Nej",,,,,,,y,,,,,Record whether the timer was started at the time of test drink consumption (defined as time 0). Visit 10.
tmt_b_v10_dq,tmt_b_v10,visit_10,besgsdag_10_5f76,,radio,Har deltageren gennemført Trail Making Test (TMT)?,"1, Ja | 2, Nej",,,,,,,y,,,,,Whether the participant completed the trail making test. visit 10.
tmt_upload_v10_file,tmt_upload_v10,visit_10,besgsdag_10_5f76,,file,"<div class=""rich-text-field-label""><p>Upload TMT-B inkl. tidsangivelse<br><br><span style=""font-weight: normal;""><em>Gemmes som onlimit_ID_visit_test (eksempel: onlimit_05_v4_tmt-b)</em></span></p></div>",,,,,,,[tmt_b_v10]='1',y,,,,,Upload TMT-B including timeframe. workflow. visit 10.
,tmt_v10,visit_10,besgsdag_10_5f76,,text,TMT-B,,Skriv: x min x sek. Eksempelvis: 1 min 40 sek,,,,,[tmt_b_v10]='1',y,,,,,TMT-B time result. Visit 10.
,transportation_v10,visit_10,besgsdag_10_5f76,,text,"Hvilket form for transport har deltageren gjort brug af, og hvor langt har deltageren transporteret sig? ",,,,,,,[not_active_transportation_v10]='2',y,,,,,Description of the active transportation before the visit. Visit 10.
,type_of_clothing_whr_v10,visit_10,besgsdag_10_5f76,Talje-/hoftemål,text,Hvilken påklædning bliver deltageren målt i?,,Skal være let påklædning,,,,,,y,,,,,Indicates what type of clothing the participant is wearing during the waist and hip measurements. Visit 10.
,urin_onsite_deviation_adminribe_v10,visit_10,besgsdag_10_5f76,,text,Beskriv afvigelsen i indsamling af urinprøve (on site),,,,,,,[urin_sample_deviation_v10] = '1',y,,,,,Description of any deviations regarding the urine sample on site. Visit 10.
,urin_sample_deviation_v10,visit_10,besgsdag_10_5f76,,radio,Urinprøve (on site),"1, Ja | 2, Nej",,,,,,,y,,,deviations_v10,,Record any deviations from protocol during urin sample on site. Visit 10.
,urin_sample_v10,visit_10,besgsdag_10_5f76,,radio,Har deltageren lavet og afleveret en urinprøve?,"1, Ja | 2, Nej",,,,,,,y,,,,,Indicates if the participant has delivered a urin sample done at the day of the visit. Visit 10.
,vas_deviation_adminribe_v10,visit_10,besgsdag_10_5f76,,text,Beskriv afvigelsen i VAS under MMTT,,Noter tid/ tider,,,,,[vas_deviation_v10] = '1',y,,,,,Description of any deviations regarding VAS. Visit 10.
,vas_deviation_v10,visit_10,besgsdag_10_5f76,,radio,VAS under MMTT,"1, Ja | 2, Nej",,,,,,,y,,,deviations_v10,,Record any deviations from protocol during MMTT VAS. Visit 10.
vas_minus10_v10_dq,vas_minus10_v10,visit_10,besgsdag_10_5f76,,radio,Har deltageren gennemført VAS 1 (tid -10)? ,"1, Ja | 2, Nej",,,,,,,y,,,,,"Record whether the participant completed VAS 1, performed approximately 10 minutes prior to the intervention. 
Response options: 1=Yes, 2=No. Visit 10."
vas_time120_v10_dq,vas_time120_v10,visit_10,besgsdag_10_5f76,,radio,Har deltageren gennemført VAS 5 (tid 120)? ,"1, Ja | 2, Nej",,,,,,,y,,,,,"Record whether the participant completed VAS 5, performed approximately 120 minutes into the intervention. Visit 10."
vas_time180_v10_dq,vas_time180_v10,visit_10,besgsdag_10_5f76,,radio,Har deltageren gennemført VAS 6 (tid 180 min)? ,"1, Ja | 2, Nej",,,,,,,y,,,,,"Record whether the participant completed VAS 6, performed approximately 180 minutes into the intervention. Visit 10."
vas_time240_v10_dq,vas_time240_v10,visit_10,besgsdag_10_5f76,,radio,Har deltageren gennemført VAS 7 (tid 240)?,"1, Ja | 2, Nej",,,,,,,y,,,,,"Record whether the participant completed VAS 7, performed approximately 240 minutes into the intervention. Visit 10."
vas_time30_v10_dq,vas_time30_v10,visit_10,besgsdag_10_5f76,,radio,Har deltageren gennemført VAS 2 (tid 30)? ,"1, Ja | 2, Nej",,,,,,,y,,,,,"Record whether the participant completed VAS 2, performed approximately 30 minutes into the intervention. Visit 10."
vas_time60_v10_dq,vas_time60_v10,visit_10,besgsdag_10_5f76,,radio,Har deltageren gennemført VAS 3 (tid 60)? ,"1, Ja | 2, Nej",,,,,,,y,,,,,"Record whether the participant completed VAS 3, performed approximately 60 minutes into the intervention. Visit 10."
vas_time90_v10_dq,vas_time90_v10,visit_10,besgsdag_10_5f76,,radio,Har deltageren gennemført VAS 4 (tid 90)? ,"1, Ja | 2, Nej",,,,,,,y,,,,,"Record whether the participant completed VAS 4, performed approximately 90 minutes into the intervention. Visit 10."
,visit_attention_points_v10,visit_10,besgsdag_10_5f76,,notes,Opmærksomhedspunkter for besøget,,,,,,,,,,,,,"Documents any important notes, considerations, or issues relevant for the visit. Visit 10."
,vo2max_deviation_adminribe_v10,visit_10,besgsdag_10_5f76,,text,Beskriv afvigelsen under VO2 max testen,,,,,,,[vo2max_deviation_v10] = '1',y,,,,,Description of any deviations regarding the VO2 max test. Visit 10.
,vo2max_deviation_v10,visit_10,besgsdag_10_5f76,,radio,VO2 max test,"1, Ja | 2, Nej",,,,,,,y,,,deviations_v10,,Record any deviations from protocol during VO2 max test. Visit 10.
,vo2max_done_v10,visit_10,besgsdag_10_5f76,,radio,Har deltageren udført VO2 max test? ,"1, Ja | 2, Nej",,,,,,,y,,,,,Indicates whether or not the participant finished the VO2 max test. Visit 10.
,vo2max_outcome_v10,visit_10,besgsdag_10_5f76,,text,VO2 max værdi (Peak VO2 (ml/min)),,,,,,,[vo2max_done_v10]= '1',y,,,,,"VO2 max in ml/min. Measured using a graded exercise test on a stationary cycle ergometer with gradually increasing resistance in 1-3 minute stages, until exhaustion. During the test, oxygen uptake is continuously measured using a metabolic cart connected to a breath-by-breath gas analysis system via a face mask. Heart rate is monitored using a heart rate monitor. Visit 10."
vo2max_seat_previous_visit_v10_admin,vo2max_seat_previous_visit_v10,visit_10,besgsdag_10_5f76,,calc,"<div class=""rich-text-field-label""><p><span style=""background-color: #ecf0f1;"">Sædeindstillingen ved forrige test: </span><br><br></p></div>",[besg_8_arm_1][vo2max_seat_v8],"fx 7 eller 8,5",,,,,,y,,,,,The seat adjustment for the vo2 max test at the previous visit (visit 8). Visit 10.
,vo2max_seat_v10,visit_10,besgsdag_10_5f76,,text,Hvad var sædeindstillingen?,,"fx 7 eller 8,5",number_comma_decimal,,,,[vo2max_done_v10]= '1',y,,,,,The seat adjustment for the vo2 max test. Visit 10.
,vo2max_test_type_v10,visit_10,besgsdag_10_5f76,,radio,Hvilken testprotokol blev kørt?,"1, 1. Let | 2, 2. Middel | 3, 3. Høj | 4, 4. Meget høj | 5, 5. Ekstremt høj",,,,,,[vo2max_done_v10]= '1',y,,,,,Indicates what vo2 max protocol was used at the test. Visit 10.
vo2max_time_length_of_previous_test_v10_admin,vo2max_time_length_of_previous_test_v10,visit_10,besgsdag_10_5f76,,calc,"<div class=""rich-text-field-label""><p><span style=""background-color: #ecf0f1;"">Tidslængden på test ved forrige test: </span></p></div>",[besg_8_arm_1][vo2max_time_length_v8],Nærmeste hele minut,,,,,,y,,,,,Indicates how long time the VO2 max test lasted at previous visit (visit 8). Visit 10.
,vo2max_time_length_v10,visit_10,besgsdag_10_5f76,,text,Hvor lang tid tog testen (uden opvarmning)?,,Nærmeste hele minut,number,0,50,,[vo2max_done_v10]= '1',y,,,,,Indicates how long time the VO2 max test lasted. Visit 10.
vo2max_upload_ldrive_v10_dq,vo2max_upload_ldrive_v10,visit_10,besgsdag_10_5f76,,radio,"<div class=""rich-text-field-label""><p>Er VO2 max-data indlæst og gemt i mappen på L-drevet (excel-fil)?</p> <p><span style=""font-weight: normal;""><em>Gemmes som onlimit_ID_visit_test (eksempel: onlimit_05_v4_vo2max)</em></span></p></div>","1, Ja | 2, Nej",L:\AuditData\ON LiMiT\2. Feasibility studie\10. Data\7. VO2 makstest,,,,,[vo2max_done_v10]= '1',y,,,,,Indicates whetner or not the VO2 max test is saved on the L-drive. Visit 10.
vo2max_upload_v10_file,vo2max_upload_v10,visit_10,besgsdag_10_5f76,,file,"<div class=""rich-text-field-label""><p>Upload VO2 max-data (excel)<br><br><span style=""font-weight: normal;""><em>Gemmes som onlimit_ID_visit_test (eksempel: onlimit_05_v4_vo2max)</em></span></p></div>",,,,,,,[vo2max_done_v10]= '1',y,,,,,VO2max data upload. Workflow. Visit 10.
,waist_1_v10,visit_10,besgsdag_10_5f76,,text,Taljemål 1,,"Taljeomkreds måles halvvejs mellem det laveste punkt på ribbenene og det højeste punkt på hoftekammen. Måles til nærmeste 0.5 cm. Måling af taljeomkreds udføres to gange. Hvis differencen mellem de to målinger er mere end 3 cm, skal der laves en tredje måling. ",number_1dp_comma_decimal,,,,,y,,,,,Waist measurement 1 in cm. Visit 10.
,waist_2_v10,visit_10,besgsdag_10_5f76,,text,Taljemål 2,,,number_1dp_comma_decimal,,,,,y,,,,,Waist measurement 2 in cm. Visit 10.
,waist_average_v10,visit_10,besgsdag_10_5f76,,calc,"Taljemål, gennemsnit",([waist_1_v10]+[waist_2_v10])/2,,,,,,,y,,,,,The average of the waist measurements in cm. Visit 10.
