Key,Danish Description,English Description,Denmark
DTOTR,Delta-tocotrienol (mg),Delta-tocotrienol (mg),Available
GTOTR,Gamma-tocotrienol (mg),Gamma-tocotrienol (mg),Available
FAC14:0,Tetradecansyre C14:0 pr. 100 g fedtsyrer (g),Tetradecanoic acid C14:0 per 100g fatty acids (g),Available
FAC16:0,Hexadecansyre C16:0 pr. 100 g fedtsyrer (g),Hexadecanoic acid C16:0 per 100g fatty acids (g),Available
FOD14:0,Tetradecansyre C14:0 (g),Tetradecanoic acid C14:0 (g),Available
FOD16:0,Hexadecansyre C16:0 (g),Hexadecanoic acid C16:0 (g),Available
FAC20:3cn6,cis n-6 C20:3 eicosatriensyre pr. 100 g fedtsyrer (g),cis n-6 C20:3 eicosatrienoic acid per 100g fatty acids (g),Available
FAC20:4cn6,cis n-6 C20:4 eicosatetraensyre pr. 100 g fedtsyrer (g),cis n-6 C20:4 eicosatetraenoic acid per 100g fatty acids (g),Available
FAC20:5cn3,cis n-3 C20:5 eicosapentaensyre (EPA) pr. 100 g fedtsyrer (g),cis n-3 C20:5 eicosapentaenoic acid (EPA) per 100g fatty acids (g),Available
FAC22:6cn3,cis n-3 C22:6 docosahexaensyre (DHA) pr. 100 g fedtsyrer (g),cis n-3 C22:6 docosahexaenoic acid (DHA) per 100g fatty acids (g),Available
FOD20:3cn6,cis n-6 C20:3 eicosatriensyre (g),cis n-6 C20:3 eicosatrienoic acid (g),Available
FOD20:5cn3,cis n-3 C20:5 eicosapentaensyre (EPA) (g),cis n-3 C20:5 eicosapentaenoic acid (EPA) (g),Available
FOD22:6cn3,cis n-3 C22:6 docosahexaensyre (DHA) (g),cis n-3 C22:6 docosahexaenoic acid (DHA) (g),Available
Total PHYTO,Samlede phytosteroler (mg),Total phytosterols (mg),Available
Other CHOL and PHYTO,Andre kolesterol og phytosteroler (mg),Other cholesterol and phytosterols (mg),Available
PHYTO,Phytosterol (mg),Phytosterol (mg),Available
BSITPHYTO,Beta-sitosterol (mg),Beta-sitosterol (mg),Available
BRASPHYTO,Brassicasterol (mg),Brassicasterol (mg),Available
CAMPHYTO,Campesterol (mg),Campesterol (mg),Available
D5AVEN,Delta-5-avenasterol (mg),Delta-5-avenasterol (mg),Available
D7AVEN,Delta-7-avenasterol (mg),Delta-7-avenasterol (mg),Available
D7STIG,Delta-7-stigmastenol (mg),Delta-7-stigmastenol (mg),Available
STIGPHYTO,Stigmasterol (mg),Stigmasterol (mg),Available
CITA,Citronsyre (g),Citric acid (g),Available
MALA,Æblesyre (g),Malic acid (g),Available
LKCAL,L Energi (kcal),LEnergy (kcal),Available
LKJ,L Energi (kJ),LEnergy (kJ),Available
LPROT,L Protein (g),LProtein (g),Available
LCHO,L Kulhydrat (g),LCarbohydrate (g),Available
LTOTSUG,L Sukker i alt (g),LTotal Sugars (g),Available
LSTAR,L Stivelse (g),LStarch (g),Available
Fruit,Total frugt (g),Total fruit (g),Available
Veg,Total grøntsager (g),Total veg (g),Available
Meat,Total kød (g),Total meat (g),Available
Fish,Total fisk (g),Total fish (g),Available
Wholegrain,Total fuldkorn (g),Total wholegrain (g),Available
Tags,Kategorimærke,Category tag,Available
TOTGHGE,Total drivhusgasemissioner (kg CO2e/ pr. kg),Total Green House Gas Emissions (kg CO2e/ pr. kg),Available
AgriGHGE,Landbrugs drivhusgasemissioner,Arigculture Green House Gas Emissions,Available
iLUCGHGE,Indirekte ændringer i arealanvendelse,Indirect Land Use Change Green House Gas Emissions,Available
ProcGHGE,Forarbejdning af drivhusgasemissioner,Processing Green House Gas Emissions,Available
PackGHGE,Emballage af drivhusgasemissioner,Packaging Green House Gas Emissions,Available
TranspGHGE,Transport af drivhusgasemissioner,Transport Green House Gas Emissions,Available
RetGHGE,Detailhandel af drivhusgasemissioner,Retail Green House Gas Emissions,Available
SCORE_EF,Unik score EF 3.1 (AGRIBALYSE),Unique score EF 3.1 (AGRIBALYSE),Available
CLIMATE,Klimaændringer (AGRIBALYSE),Climate change (AGRIBALYSE),Available
OZONE,Ozonlagsnedbrydning (AGRIBALYSE),Ozone layer depletion (AGRIBALYSE),Available
IONISATION,Ioniserende stråling (AGRIBALYSE),Ionizing radiation (AGRIBALYSE),Available
FORMA_OZONE,Fotokemisk ozondannelse (AGRIBALYSE),Photochemical ozone formation (AGRIBALYSE),Available
PARTICULES,Fine partikler (AGRIBALYSE),Fine particles (AGRIBALYSE),Available
NON_CANCERO,Toksikologiske virkninger på menneskers sundhed: ikke-kræftfremkaldende stoffer (AGRIBALYSE),Toxicological effects on human health: non-carcinogenic substances (AGRIBALYSE),Available
CANCERO,Toksikologiske virkninger på menneskers sundhed: kræftfremkaldende stoffer (AGRIBALYSE),Toxicological effects on human health: carcinogenic substances (AGRIBALYSE),Available
ACIDIFICATION,Forsuring af land og ferskvand (AGRIBALYSE),Terrestrial and freshwater acidification (AGRIBALYSE),Available
EUTROPH_FRESH,Eutrofiering af ferskvand (AGRIBALYSE),Eutrophication of freshwater (AGRIBALYSE),Available
EUTROPH_MARINE,Marin eutrofiering (AGRIBALYSE),Marine eutrophication (AGRIBALYSE),Available
EUTROPH_TERRE,Terrestrisk eutrofiering (AGRIBALYSE),Terrestrial eutrophication (AGRIBALYSE),Available
ECOTOX,Økotoksicitet for ferskvandsøkosystemer (AGRIBALYSE),Ecotoxicity for freshwater aquatic ecosystems (AGRIBALYSE),Available
LANDUSE,Arealanvendelse (AGRIBALYSE),Land use (AGRIBALYSE),Available
EP_WATER,Udtømning af vandressourcer (AGRIBALYSE),Water resource depletion (AGRIBALYSE),Available
EP_ENERGY,Udtømning af energiressourcer (AGRIBALYSE),Energy resource depletion (AGRIBALYSE),Available
EP_MINERAL,Udtømning af mineralressourcer (AGRIBALYSE),Mineral resource depletion (AGRIBALYSE),Available
CLIMATE_BIOGENIC,Klimaændringer - biogene emissioner (AGRIBALYSE),Climate change - biogenic emissions (AGRIBALYSE),Available
CLIMATE_FOSSIL,Klimaændringer - fossile udledninger (AGRIBALYSE),Climate change - fossil emissions (AGRIBALYSE),Available
CLIMATE_LANDUSE,Klimaændringer - udledninger relateret til ændringer i arealanvendelsen (AGRIBALYSE),Climate change - emissions related to land-use change (AGRIBALYSE),Available
